"","Log","Cluster"
"36","#ROYWatch Would you be shocked if the #Colts made the Super Bowl? Yes. #Redskins? Yes. #Seahawks? Not after today. #RusselWilson is your ROY",7
"37","RG3 leads Redskins over Eagles 27-20 https://t.co/QBTRqEbR",9
"38","Redskins was crushing Dallas on Thanksgiving til they let them comeback but not this time, it's OUR HOUSE. Gonna wreck y'all. Division baby!",7
"39","If you are one of these “NBD” (never been to Dallas) Cowboys fans your presence in FedEx Field on Sunday is not welcome! #HTTR #Redskins",7
"40","RG3 leads Redskins over Eagles 27-20 (The Associated Press) #NFL #FantasyFootball http://t.co/PrgKSjjK",9
"41","@cowboysbuzztap Disappointing all year!!!😠😡😤 #DallasCowboys #cowboynation #cowboys",7
"42","@cowboysbuzztap Too many excuses!!! 😠😡😤 #cowboys #cowboynation #DallasCowboys",7
"43","RT @dmn_cowboys: Witten sets NFL record for receptions by a tight end in a single season: ARLINGTON — With a five-yard catch at t... htt ...",7
"44","@Stuntin0nY0u great game man, next week boyyyy we gotta take out the redskins",3
"45","^@^ Direct Streaming Link: LIVE Dallas Cowboys VS Washington Redskins Online Streaming HD TV.Ultimate Live Coverage,Soap Cast,Pod…",7
"46","RT @JoelMadden: Thanks @Redskins for making my Holiday weekend feel like a Win!!! #HTTR @Trey_Deuces @RGIII",7
"47","""@ESPNNFL: BREAKING: Cowboys at Redskins flexed to Sunday Night Football on NBC - 820pm ET"" @travisthrasher good luck my friend",5
"48","@cowboysbuzztap As it should be!!! #CowboysNation #cowboys #DallasCowboys",7
"49","RT @TrapBasquiat: *reported as spam* RT @SuedeMoccasins: Dawg, CHILL! “@_CharlieMonroe: With that being said, fuck the redskins lol”",7
"50","@cowboysbuzztap He should be used to it by now!!!😠😡😤 #CowboysNation #cowboys #DallasCowboys",7
"51","@ESPN_Colin Cowboys Vs Redskins For NFC East",6
"52","RT @CowboysBeat: Dallas Cowboys: Players Who Must Step Up in Tell-All Game Against Redskins: Despite the 34-31 overtime ... http://t.co/ ...",7
"53","@JoeGiglioSports Yeah the Redskins.",7
"54","LogoArt Washington Redskins 18... http://t.co/bJ3rDbnJ",7
"55","Cowboys and Indians Sunday night. Go Redskins!!! http://t.co/p42QVeX1",5
"56","@InSideOf_Quis If giants,cowboys,and redskins go 9-7 yah have the tie breaker because yah have the better common record.",7
"57","Da #Redskins, Cowboys & Giants are all tired with 7 NFC wins  @dlb703 Da Vikings have 6& Da Seahawks got their 8th earlier tonight.",7
"58","Grid's Giants.. RG3 leads Redskins over Eagles 27-20 (The Associated Press) http://t.co/pnlwhjdD",9
"59","Grid's 'Boys.. RG3 leads Redskins over Eagles 27-20 (The Associated Press) http://t.co/FBNXQ3A3",9
"60","NFL playoff picture: NFL playoff picture: Redskins in control with win, Cowboys loss NFL playoff picture: Redskins…",8
"61","Healthy Robert Griffin III leads Redskins one step closer to playoff berth in ... - National Post http://t.co/3t9GQiSi",9
"62","@cdow95  @RGIII in prime time!!! “@redskinsbuzztap: CSNWashington >> Cowboys-Skins game goes to Sunday night football http://t.co/TsFqoGxw”",5
"63","Legend in the making #redskins http://t.co/iNwSNkz7",7
"64","For the record, even though I don’t want them there I have zero problem w/someone FROM Dallas at game next Sunday. ZERO. #HTTR #Redskins",7
"65","RT @thadonwon: Cowboys-Redskins moved to Sunday night http://t.co/pau4Q7ba",5
"66","GameDay: Washington Redskins vs. Philadelphia Eagles highlights - NFL Videos http://t.co/SbqmbTLW",7
"67","#TwitNewsNow New Orleans Saints survive defensive meltdown to beat Dallas Cowboys 34-31 http://t.co/G5Wbrl9Q #NFL",7
"68","#TwitNewsNow Dallas Cowboys: Giants' Loss Sparks Historic Matchup vs. Washington Redskins http://t.co/ibBsquMQ #NFL",7
"69","#TwitNewsNow Redskins vs. Eagles: Washington’s defense stands tall to lock up win http://t.co/BQpw01ug #NFL",7
"70","goooood morning #dmv!! if you're not sleepin' in, get up with #myfoxdc starting at 5:45 talking what else, #redskins and the plaoff picture!",7
"71","Cowboys-Redskins off to prime time - ESPN - http://t.co/K5xpkksn",5
"72","So nervous/scared/excited for next weeks Cowboys and Redskins game!",3
"73","NFL ROY debate. RG3: huge arm, very fast, consistent, accurate, winner. He'll be gr8 if he doesn't get hurt. Has a gr8 O line/RB.",7
"74","Cowboys' offense can't catch breaks - ESPN http://t.co/TOeqCMCy #NFL #DallasCowboys",7
"75","TREY SONGZ IS A REDSKINS FAN!!!! RESPECT BRO!!!!!",7
"76","redskins are gonna beat some cowboy ass next week. #realtalk",3
"77","Robert Griffin III started it, rest of the Redskins are finishing http://t.co/stODhrJW #eagles #nfl",9
"78","I would have more of a problem if a #Redskins fan brought this #Cowboys fan, but overall not a problem w/a fan from Dallas who came to game.",7
"79","RT @SCollinsEA Josh Morgan wanted to stay a Redskins and made sure it didn't fall apart at the negotiation table. #CCM",7
"80","Gosh, I hate the redskins and their fans ;p",7
"81","(NFL) WAS @ PHI - Washington Redskins Win!",7
"82","<b>NFL</b> flexes Dallas Cowboys-Washington Redskins game http://t.co/KcO9TjIL",7
"83","I will be there!!!!! Ahhhhh! RT @ESPNNFL: BREAKING: Cowboys at Redskins flexed to Sunday Night Football on NBC - 820pm ET",5
"84","RT @rashardNAMUH: @MsElleVictoria #RGIII is w/out question the #ROY w/ a win for us next week (#REDSKINSnation | #redskins | #skins | #HTTR)",3
"85","Philadelphia Eagles' last-gasp drive falls short in loss to Washington Redskins - The Express Times http://t.co/NtdDXszG",7
"86","Redskins dump #Eagles in what could be Reid' finale at the Linc. http://t.co/qEB0MK67",7
"87","RT @FOX5Ross: goooood morning #dmv!! if you're not sleepin' in, get up with #myfoxdc starting at 5:45 talking what else, #redskins and t ...",7
"88","Dallas Cowboys: Giants' Loss Sparks Historic Matchup vs. Washington Redskins - Bleacher Report http://t.co/Rm7LMEFw",7
"89","“@LifeAsBros: What does a Cowboys fan do after they win an NFL game? Turn off the xbox and go to bed.” @bsegar0229",7
"90","@Ryan_Riddle @pff_sam yeah I think the whole NFL is that way. I think @PFF_Neil termed it well on @PFF podcast when he said its a boys club",7
"91","#Cowboys vs #Redskins for the division crown don't get no better",7
"92","@rosesandcyanide ""@ESPNNFL: BREAKING: Cowboys at Redskins flexed to Sunday Night Football on NBC - 820pm ET""  I get to watch!",5
"93","RT @PhilHeron: Redskins dump #Eagles in what could be Reid' finale at the Linc. http://t.co/qEB0MK67",7
"94","Farther and son. hail The Redskins http://t.co/6WfTVGmc",7
"95","Redskins vs. Cowboys ""flexed"" to the Sunday Night game next week. Winner take all. Going to be amazing. Stay tuned for watch party details.",5
"96","Philadelphia Eagles' last-gasp drive falls short in loss to Washington Redskins http://t.co/KWsxiX4k",7
"97","RG3 leads Redskins over Eagles 27-20: With one more win, Robert Griffin III can be called a playoff quarterback. http://t.co/ix55hQxE",9
"98","How long can the Redskins keep this up? http://t.co/sX9Nf2b3",7
"99","Dallas Cowboys: Giants' Loss Sparks Historic Matchup vs. Washington Redskins http://t.co/x7f9psgm",7
"100","Robert Griffin III returns from injury to lead Washington Redskins past ... http://t.co/w5YnBoyh",9
"101","Rick Snider: Redskins' season comes down to Week 17 http://t.co/T53YR75e",7
"102","Redskins vs. Eagles: Behind RG3, Washington holds on for sixth straight win http://t.co/5NG6DOls",7
"103","Washington Redskins Game 15 Review: With NFC East title on the line, RGIII ... http://t.co/1xy6dH6O",6
"104","I can't believe I have to wait a week for the Cowboys Redskins game... #winandin",3
"105","redskins won over the eagles",7
"106","Nice waking up amd seeing the Redskins atop the NFC East!!!!!!! Watch out for the beasts from the east!!!!",6
"107","YOUR Monday Morning Blog talks NFL and Toronto Raptors YwqLuyK5 CalvinJohnson BigBen #RGIII #Cincinnati......... http://t.co/TUFNbJsf",7
"108","the redskins are suddenly a big deal now thanks to @RGIII #WeWantDallas #BacktoTheSuperBowl",7
"109","Philadelphia Eagles' last-gasp drive falls short in loss to Washington Redskins - The Express Times - http://t.co/GftKBcpq ...",7
"110","RT @TrackEaglesNews: RG3 leads Redskins over Eagles 27-20 (The Associated Press): PHILADELPHIA (AP) -- With one more win,... http://t.co ...",9
"111","@Redskins @nfl @SNFonNBC main event #HTTR",7
"112","Top Sports Headlines:  Redskins outlast lowly Eagles as RG III returns",9
"113","NFL flexes Dallas Cowboys-Washington Redskins game http://t.co/pjsOmATE",7
"114","NFL flexes Dallas Cowboys-Washington Redskins game http://t.co/LoYQF5Se",7
"115","Morning Rush: Pete Carroll shows 'class', resists further humiliating Jim Harbaugh's 49ers (Yahoo!... http://t.co/dTSUkd1q #COWBOYS #NFL",7
"116","RT @SigmundBloom: Congratulations winner of next week's #cowboys - #redskins game. Your reward is having this #seahawks team come to you ...",7
"117","1. Happy Holidays 2. Dallas Cowboys 3. Russell Wilson 4. NFL Playoff Picture 5. Sound of Music  #Trend",8
"118","DC native, our own joshmorgan is slowly becoming my favorite. #Redskins #HTTR http://t.co/470cW8Hn",7
"119","BREAKING NEWS - NFL - Cowboys-Redskins flexed to Sunday night game on Dec. 30; Packers-Vikings shifts to 4:25 pm ET",5
"120","Dallas #Cowboys: Giants’ Loss Sparks Historic Matchup vs. Washington Redskins http://t.co/tc7hJ1sV",7
"121","""@bgates12: Redskins*""yeah baby!",7
"122","Superbowl i got Seahawks vs. Redskins",7
"123","So happy for the veteran #Redskins, they Finally have a winning QB. Cooley, Fletcher, and most importantly Moss! Deserve it. Thank you #Jets",7
"124","Who is the ROY, RG3, Luck, or Wilson? #NFL",7
"125","Eagles' fans were not happy with Captain and Coach being there but it was great to see @Redskins pull off the sixth victory in a row.",7
"126","Whatever happens in the playoffs happens, I'm proud of the Redskins for working together as a team and giving it their all @Redskins #hail",7
"127","New article: Redskins close in on divison title http://t.co/MsuCCK7z Follow @twptweets ;)",7
"128","RT @illwill0824: From a 1:00 game to the 8:20 game... Cowboys vs Redskins #C0WBOYSNATION #teamcowboys #CowboyNation #cowboys",7
"129","RT @broncostweeters: RT @jeff_sorbello: @akajayda #Seahawks road to the #superbowl includes:

#Redskins 
#packers
#falcons
#broncos.

Ri ...",7
"130","Video: Washington Redskins vs. Philadelphia Eagles ... http://t.co/7tbaUZg3 #NFL #WashingtonRedskins",7
"131","Video: Dallas Cowboys vs. Washington Redskins Preview ... http://t.co/FbkgeAHW #NFL #WashingtonRedskins",7
"132","#VictoryMonday wooohoooo I love waking up to that. #HailToTheRedSkins #HTTR #RedSkins #RedskinsDisciples #REDSKINSNATION #RedskinsDisciples",7
"133","Cowboys and Redskins game to be on sunday night football...CANT WAIT!!!!",5
"134","Next week I will be sipping Burgundy.  Cowboys playoff picture is clear: beat the Redskins next week and they're in http://t.co/yLUkTX37",3
"135","New post: NFL moves Cowboys-Redskins to Sunday night http://t.co/TnyNH9V1",5
"136","#redskins vs #cowboys flexed to Sunday night #SNF #PLAYOFFS #NFCeast",5
"137","cowboy  fans yall  still  have one chance  to  get  in playoff  with  win  over redskins  #Cant wait  to  see that  game",7
"138","RG3 leads Redskins over Eagles 27-20 http://t.co/BUPNAjYA",9
"139","Dallas Cowboys: Giants' Loss Sparks Historic Matchup vs. Washington Redskins - Bleacher Report http://t.co/d0EKRpeb #NFL #DallasCowboys",7
"140","RG3 leads Redskins over Eagles 27-20: PHILADELPHIA (AP) — Robert Griffin III used his arm to lift the... http://t.co/eUYZ0A3k #NFL #News",9
"141","S/O to the Redskins for that W yesterday!",7
"142","@Lennycccp Yo con una victoria contra los Washington Redskins el domingo me alegro... pero RGIII nos va a masacrar. No tenemos defensa.",7
"143","Redskins close in on division title; Week 16 NFL roundup http://t.co/gVOpg2Zs",7
"144","Redskins close in on division title; Week 16 NFL roundup http://t.co/vdv6H0fE",7
"145","Redskins close in on division title; Week 16 NFL roundup http://t.co/BjQJByNC",7
"146","RT @michelleisawolf: The Redskins have to beat the Cowboys to win the NFC East. Very possible in football. Very impossible in westerns.",6
"147","SHOW TOPIC: Is every football fan (ok, no Cowboys or Bears fans) wanting RG3 vs. Russell Wilson wild-card weekend? Seahawks at Redskins....",7
"148","Video: Dallas Cowboys vs. Washington Redskins Preview ... http://t.co/xje392mI #NFL #DallasCowboys",7
"149","What happen with Happy Holidays, NFL playoff picture, Dallas Cowboys, ...  ?",8
"150","http://t.co/wLyyzOm2 : Happy Holidays, NFL playoff picture, Dallas Cowbo...",8
"151","Happy Holidays
  NFL playoff picture
  Dallas Cowboys
  Russell Wilson
  Sound of Music
  Bruno Mars
  Festivus
...  http://t.co/Ag8B20Sw",8
"152","Happy Holidays
  NFL playoff picture
  Dallas Cowboys
  Russell Wilson
  Sound of Music
  Br...  http://t.co/upE1x2FT",8
"153","Currently Trending: Happy Holidays, NFL playoff picture, Dallas Cowboys, ...  on Google Search.",8
"154","Happy Holidays, NFL playoff picture, Dallas Cowboys, ...: Happy Holidays
  NFL playoff pictu...  http://t.co/xG9NkUPL",8
"155","I would love to see a Redskins/Broncos Super Bowl.",7
"156","Knew NBC would make that Cowboys vs Redskins a Sunday Night game. Not complaining though",5
"157","Cowboys-Redskins off to prime time - ESPN http://t.co/gxZLpafY",5
"158","NFL roundup: NFC East title within Redskins' reach - Detroit Free Press http://t.co/olXqevt7",7
"159","Hot Topics: Happy Holidays, NFL playoff picture, Dallas Cowboys, ...",8
"160","Would a Redskins/Seahawks NFL playoff game peak your interest? Taking your calls on #BradyAndLang 416-870-0590, 1-888-666-0590, *590",7
"161","#redskins http://t.co/c3JvpWfU",7
"162","@Buckland7 #Redskins #Cowboys http://t.co/MQhvSasm",7
"163","NFL - Cowboys-Redskins flexed to Sunday night game on Dec. 30; Packers-Vikings shifts to 4:25 pm ET @wolfe1123 , my house or yours?",5
"164","RT @Cowboys_Plus: Dez Bryant 'frustrated' after career day - ESPN (blog) http://t.co/45NcondQ #NFL #DallasCowboys",7
"165","#TwitNewsNow New Orleans Saints vs. Dallas Cowboys: Grading the offense http://t.co/dMJgmsdN #NFL",7
"166","#TwitNewsNow Saints hold off Dallas comeback http://t.co/hWUoayAy #NFL",7
"167","#NFL Wk 15
 #Redskins 27-#Eagles 20
 #Bengals 13-#Steelers 10
 #Rams 28-#Buccaneers 13
 #Chargers 27-#Jets 17
 #AFC #NFC #football",7
"168","#TwitNewsNow Redskins 27, Eagles 20 http://t.co/8ac6lKGx #NFL",7
"169","@StDeano1 I'm not really a cricket fan so I am into Nfl. Go cowboys.The last run in Colorado and Milney on campus",7
"170","Happy Holidays, NFL playoff picture, Dallas Cowboys, ... http://t.co/PWuDWAkS",8
"171","Philadelphia Eagles: Birds lose to Redskins in home finale, 27-20
http://t.co/PEeKqHiT",7
"172","Jason Reid: Redskins finishing what RGIII started http://t.co/gXhoVBG3",7
"173","Hey Unc, who's your NFL team? Steelers. What about you Unc? Cowboys. Dad? Cowboys. Unc. Z? Steelers. I can tell who was good in the 70's!!!",7
"174","RT @jhOlegario: #RG3 retorna, #Redskins vence o #Eagles e se aproxima de uma vaga nos playoffs da #NFL. Veja no site do @ivanzm http://t ...",7
"175","@woody140284 zzzzz, redskins, schmedskins. Got myself a Foster texans top!",7
"176","Morning updates on @ESPNRadio980 from 6-11:30am taking you through Monday Morning QB with @kevins980 & Redskins Recap with @AlGaldi",7
"177","RT @JasonLaCanfora: Redskins/Cowboys game flexed to next Sunday night",5
"178","“@nfl: League flexes Dallas Cowboys-Washington Redskins game for Sunday night. http://t.co/m4TvXcsX #DALvsWAS #SNF” @Jaxmom1315",7
"179","@JJJJJ33333 Sorry. No strong feelings on Dallas either way. I enjoy NFL. But college football really gets my blood pumping…teeth grindin'",7
"180","So the live slate of #NFL games for Week 17 is #Bears #Lions then #Packers #Vikings (both SKY) and rounded off by #Cowboys #Redskins (C4)",3
"181","So happy that #NBC decided to show the Redskins/ Cowboys game on Sunday night. Can't wait to see @RGIII light it up on nat'l TV... again!",5
"182","#RG3 to Moss 22yd TD pass. #NFL #HTTR #Redskins http://t.co/SfxK8OBw #Spectacular",7
"183","@i_love_chicken_ ;) --> @Rich_TandlerCSN #Redskins playoff scenarios: Best way is win and in #RedskinsTalk http://t.co/MxdPRK8A",7
"184","Seattle Times: RG3 leads Redskins over Eagles 27-20  http://t.co/zF0WKpiu",7
"185","New post: RG3 leads Redskins over Eagles 27-20 http://t.co/hfoJOnRL #sports #sportsnews",7
"186","Is it true that they moved the Cowboys/Redskins game to Sunday night? If it is then I'm going to have to stay up pass my bedtime",5
"187","New Orleans Saints hold off Dallas Cowboys' late rally for OT win: Drew Brees threw for 446 yards and th... http://t.co/Hi7Yixrr #saints",7
"188","Ol' Bobby 3-sticks at it again #Redskins @RGIII",7
"189","@SkySportsNFL What's ""Flexed"" mean please? Are you showing #Cowboys #Redskins or not please? #SkySportsNFL #NFL #NFCEast #HTTR",7
"190","ICYMI RT @csnwashington #Redskins & #Cowboys game next Sunday has been flexed to primetime; will be shown exclusively on #NBC",5
"191","@Redskins living the dream....NFC East Champions coming to a city near you from next week lol",3
"192","and the redskins take 1st #rg3bandwagon",7
"193","Dallas Cowboys VS Washington Redskins Live Streaming http://t.co/GbMDz9na",7
"194","@CourtneyCummz Good morning Courtney - Hail to the Redskins...Woo Hoo! Have a wonderful day. :-)",7
"195","can't wait for som @DezBryant  TDs and @MoClaiborne @BCarr39 interceptions on the Redskins!!!",7
"196","Redskins... Colts... Bengals... Niners... Seahawks... Texans... Denver! All teams that have made a faster upside turnaround than the #Bucs",7
"197","NFL flexes Dallas Cowboys-Washington Redskins game http://t.co/r1tKOrAO",7
"198","Everyone here is a redskins or ravens fan #goVikes",7
"199","Like I needed another heart attack risk factor. #Redskins MT @AdamSchefter: Sources confirm DAL-WAS will be moved to primetime in Week 17",7
"200","The Giants make the playoffs if they beat the Eagles AND the Redskins beat the Cowboys AND the Lions beat the Bears #possible",3
"201","NFL | Redskins 27, Eagles 20: Division title in reach - Columbus Dispatch http://t.co/M1L4Sx7p",7
"202","Washington Redskins survive, eye NFC East crown http://t.co/1fEjUipc",6
"203","#dc Bell: Redskins continue to feed off pre-playoff pressure http://t.co/rdQ7vmg0",7
"204","@MikeAndMike Impact of the Golden Tate Catch Game = #Bears #Cowboys #Vikings and/or #Giants a Playoff spot & #Seahawks get in #NFL #SubRefs",7
"205","#dc RGIII safe but effective as Redskins top Eagles http://t.co/XwkUfFQw",7
"206","@GlassJoeJP You should not have just admitted that. Plus, its Dallas week. #Redskins marching to playoffs > ""I went to ballet"" story.",7
"207","Impact of the Golden Tate Catch Game = #Bears #Cowboys #Vikings and/or #Giants a Playoff spot & #Seahawks get in #NFL #SubRefs",7
"208","@Redskins @nfl @snfonnbc wow EPIC FAIL!",7
"209","Cowboys-Redskins flexed to Sunday Night Football in Week 17 http://t.co/fXsy7woX via @ProFootballTalk",5
"210","@Redskins @nfl @SNFonNBC About time we got the spotlight.Now D to dial it up as Romo remembered how to play in Dec and @RGIII rest that knee",7
"211","[Trending on Google] * Happy Holidays * NFL playoff picture * Dallas Cowboys * Russell Wilson * Sound of Music * Bruno Mars * Festivus *...",8
"212","Washington Redskins: Morris Must Carry Load... http://t.co/8vimQHgB",7
"213","😂😂😂 #Giants #NYGiants #Redskins #Skins. #HTTR http://t.co/Iq1THv7h",7
"214","Despite loss, Cowboys' playoff hopes alive in crazy NFL world Special/John Rhodes Dallas Co http://t.co/aQifKJ5N",7
"215","First playoff game! Lets go Redskins! http://t.co/IK6Ji0T3",7
"216","Redskins and Cowboys game moved to 8:20 on SUNDAY!!!",5
"217","Need to Know: Morris finishes strong for #Redskins #RedskinsTalk http://t.co/LWJjdl7V",7
"218","@ThomasXRATED #cowboys will beat #redskins next week",3
"219","RT @nbcaaron: Starting the day in a Redskins state of mind.  Hello Monday!",7
"220","RT @ked_smith: @Igot_PlentyMO think the giants gone win the division but whoever win out of the cowboys nd redskins is who gone win the  ...",7
"221","Dear New York Giants & Fans..  WTF?! 2 games. Win 2 games and the Redskins could close out and win the ... http://t.co/gYXEUf5c",7
"222","New Popular Keywords: Happy Holidays, NFL playoff picture, Dallas Cowboys, ... http://t.co/ibZmz9Bs #SEO",8
"223","I think @LatoyaSilmon and I need to make a bet on next week's @Redskins vs Cowboys game. @frankwgn what should we wager?!",3
"224","Redskins To Battle Cowboys For NFC East Title - W*USA 9 http://t.co/cUQM1RMD",6
"225","Washington Redskins One Win from NFC East Title—Bring on the Cowboys - Bleacher Report http://t.co/JX3qDULg",6
"226","How 'bout them #Redskins? #HTTR!!",7
"227","Redskins making it boy",7
"228","Ay sunday night football cowboys vs redskins im in there.",5
"229","1. Happy Holidays 2. NFL playoff picture (★New) 3. Dallas Cowboys (↓) 4. Russell Wilson (↓) 5. Sound of Music  #Trend",8
"230","Love waking up to a #Redskins victory!!!

#HAIL 
#BEATDALLAS",7
"231","Redskins as divisional champs. Are you sure the mayans were wrong",7
"232","Not overly pleased that the cowboys vs redskins game has been moved to Sunday night. Means i will have to put up with channel 4's coverage",5
"233","Trending Online: Happy Holidays
  NFL playoff picture
  Dallas Cowboys
  Russell Wilson
  Sound of Music
  Bruno ...",8
"234","Happy Holidays
  NFL playoff picture
  Dallas Cowboys
  Russell Wilson
  Sound of Music
  Bruno Mars
  Festivus
...  http://t.co/10btWOwP",8
"235","GoogleTopSearched Happy Holidays, NFL playoff picture, Dallas Cowboys, ...: Happy Holidays
  ...  #trend #search #SEO",8
"236","@QuantCoach cowgirls will beat redskins bank it",3
"237","RT @TengoSwag: So it comes down to Sunday night prime time. I believe the Redskins can do this. LEGGO #HTTR http://t.co/Aanqc5UY",5
"238","#imvu #fashion #fashionulove #cowboys#nfl#football http://t.co/cyXKTBNB",7
"239","Too funny #httr #Giants #NYGiants #Redskins http://t.co/WSK2lcl4",7
"240","@SkySportsNFL are you's showing the Redskins game",7
"241","RT @RedskinsWatch: Washington Redskins survive, eye NFC East crown http://t.co/1fEjUipc",6
"242","Washington Redskins are winning the NFC East",6
"243","Cowboys-Redskins off to prime time http://t.co/WU4gWVLG",5
"244","@Ricanbombshell Good morning Jossie- Hail to the Redskins...Woo Hoo! Have a wonderful day. :-)",7
"245","Redskins lead 13-10 at halftime - DC Pro Sports Report: The Washington Redskins lead the Philadelphia Eagles 13-... http://t.co/n7Gmj9V8",7
"246","@RGIII Should The “Washington Redskins” Change There Disrespectful Racist Name?? http://t.co/EAvPRjPz",7
"247","@rgIII Should The “Washington Redskins” Change There Racist Name?? http://t.co/EAvPRjPz",7
"248","I kept waking up all night grinding my teeth and thinking of killing the dallass #cowboys. This game can't come soon enough #HTTR #Redskins",7
"249","@gonavy1994  Last two #Redskins playoff games have been losses to #Seahawks. http://t.co/t5G25ucx Ready for number 3?",7
"250","@TylerHobbs5 yesterday loss was a warm up for this weekend against the redskins",7
"251","I'm at Redskins Pub (Neshanic Station, NJ) http://t.co/b2sQh0ka",7
"252","I'm at Redskins Pub (Neshanic Station, NJ) http://t.co/RctREVAd",7
"253","I'm at Redskins Pub (Neshanic Station, NJ) http://t.co/TvvOS1uv",7
"254","@anotherroundd I do, I love the redskins",7
"255","Smh my mama turned my niece into a Redskins fan",7
"256","Redskins vs. Cowboys for the NFC East title: Did you imagine this in your wildest dreams? http://t.co/40oDub4E",2
"257","Redskins vs. Cowboys for the NFC East title: Did you imagine this in your wildest dreams? http://t.co/3mzZRYFv",2
"258","YOUR Monday Morning Blog talks NFL and Toronto Raptors YwqLuyK5 CalvinJohnson BigBen RGIII #Cincinnati............ http://t.co/76jQROCH",7
"259","Redskins vs. Cowboys for the NFC East title: Did you imagine this in your wildest dreams? http://t.co/MuEfMxkY",2
"260","Redskins vs. Cowboys for the NFC East title: Did you imagine this in your wildest dreams? http://t.co/A49v0FHi",2
"261","Redskins vs. Cowboys for the NFC East title: Did you imagine this in your wildest dreams? http://t.co/OPpRy8Hz",2
"262","Redskins vs. Cowboys for the NFC East title: Did you imagine this in your wildest dreams? http://t.co/tmyhdOKd",2
"263","Redskins vs. Cowboys for the NFC East title: Did you imagine this in your wildest dreams? http://t.co/SxVG3Cm9",2
